season,round,driver_id,total_stops,avg_stop_duration,fastest_stop
2018,12,bottas,1,21.337,21.337
2018,12,brendon_hartley,1,21.831,21.831
2018,12,ericsson,1,22.64,22.64
2018,12,gasly,1,21.684,21.684
2018,12,grosjean,1,21.733,21.733
2018,12,hamilton,1,21.48,21.48
2018,12,hulkenberg,2,22.308,21.966
2018,12,kevin_magnussen,1,25.126,25.126
2018,12,ocon,1,22.258,22.258
2018,12,perez,1,22.561,22.561
2018,12,raikkonen,2,23.15,21.829
2018,12,ricciardo,1,21.364,21.364
2018,12,sainz,1,21.914,21.914
2018,12,sirotkin,1,21.509,21.509
2018,12,stroll,1,21.291,21.291
2018,12,vandoorne,1,21.732,21.732
2018,12,vettel,1,23.111,23.111
2018,13,bottas,3,24.42233333333333,20.349
2018,13,brendon_hartley,2,23.7,18.084
2018,13,ericsson,2,21.1345,19.711
2018,13,gasly,2,21.5445,20.136
2018,13,grosjean,2,21.764000000000003,20.28
2018,13,hamilton,2,20.8735,19.372
2018,13,kevin_magnussen,2,22.1625,20.021
2018,13,max_verstappen,2,21.1415,19.942
2018,13,ocon,2,21.4035,19.582
2018,13,perez,2,21.412,19.667
2018,13,raikkonen,2,30.909,26.367
2018,13,sainz,2,21.183,18.509
2018,13,sirotkin,2,21.064999999999998,19.791
2018,13,stroll,2,21.316499999999998,19.732
2018,13,vandoorne,3,21.980666666666668,19.847
2018,13,vettel,2,20.9175,19.582
2018,14,bottas,1,23.763,23.763
2018,14,ericsson,2,27.7835,25.575
2018,14,gasly,1,27.792,27.792
2018,14,grosjean,1,24.779,24.779
2018,14,hamilton,1,23.728,23.728
2018,14,hulkenberg,2,24.845,24.456
2018,14,kevin_magnussen,1,38.563,38.563
2018,14,leclerc,1,24.084,24.084
2018,14,max_verstappen,1,24.003,24.003
2018,14,ocon,1,24.827,24.827
2018,14,perez,1,25.655,25.655
2018,14,raikkonen,1,23.862,23.862
2018,14,ricciardo,1,24.805,24.805
2018,14,sainz,1,25.774,25.774
2018,14,sirotkin,1,25.245,25.245
2018,14,stroll,1,26.44,26.44
2018,14,vandoorne,1,24.094,24.094
2018,14,vettel,2,28.259999999999998,24.301
2018,15,alonso,1,29.922,29.922
2018,15,bottas,1,28.542,28.542
2018,15,brendon_hartley,2,29.688,29.464
2018,15,ericsson,1,28.86,28.86
2018,15,gasly,1,28.931,28.931
2018,15,grosjean,1,29.517,29.517
2018,15,hamilton,1,28.946,28.946
2018,15,hulkenberg,1,31.183,31.183
2018,15,kevin_magnussen,3,29.814333333333334,29.324
2018,15,leclerc,1,29.31,29.31
2018,15,max_verstappen,1,29.681,29.681
2018,15,perez,3,28.293000000000003,24.34
2018,15,raikkonen,1,29.513,29.513
2018,15,ricciardo,1,28.779,28.779
2018,15,sainz,1,30.242,30.242
2018,15,sirotkin,2,32.2495,30.477
2018,15,stroll,1,28.767,28.767
2018,15,vandoorne,1,30.234,30.234
2018,15,vettel,1,28.722,28.722
2018,16,alonso,1,30.348,30.348
2018,16,bottas,1,29.794,29.794
2018,16,brendon_hartley,1,29.418,29.418
2018,16,ericsson,2,30.0985,30.051
2018,16,grosjean,1,30.469,30.469
2018,16,hamilton,1,29.551,29.551
2018,16,hulkenberg,1,30.625,30.625
2018,16,kevin_magnussen,1,29.904,29.904
2018,16,leclerc,1,30.397,30.397
2018,16,max_verstappen,1,29.37,29.37
2018,16,ocon,1,30.642,30.642
2018,16,perez,1,29.924,29.924
2018,16,raikkonen,1,29.531,29.531
2018,16,ricciardo,1,37.446,37.446
2018,16,sainz,1,30.021,30.021
2018,16,sirotkin,1,29.912,29.912
2018,16,stroll,1,29.266,29.266
2018,16,vandoorne,1,29.636,29.636
2018,16,vettel,1,29.798,29.798
2018,17,alonso,1,27.454,27.454
2018,17,bottas,1,22.777,22.777
2018,17,brendon_hartley,1,23.11,23.11
2018,17,ericsson,1,23.244,23.244
2018,17,gasly,1,23.376,23.376
2018,17,grosjean,1,23.692,23.692
2018,17,hamilton,1,22.614,22.614
2018,17,hulkenberg,1,23.555,23.555
2018,17,kevin_magnussen,1,29.007,29.007
2018,17,leclerc,2,32.7815,26.672
2018,17,max_verstappen,1,28.789,28.789
2018,17,ocon,1,23.316,23.316
2018,17,perez,1,23.635,23.635
2018,17,raikkonen,1,22.781,22.781
2018,17,ricciardo,1,22.864,22.864
2018,17,sainz,1,23.477,23.477
2018,17,sirotkin,2,23.6535,23.647
2018,17,stroll,2,26.7305,23.657
2018,17,vandoorne,1,23.159,23.159
2018,17,vettel,1,22.748,22.748
2018,18,bottas,1,23.478,23.478
2018,18,brendon_hartley,1,23.819,23.819
2018,18,ericsson,1,23.94,23.94
2018,18,gasly,2,24.042,23.865
2018,18,grosjean,1,35.104,35.104
2018,18,hamilton,2,23.804000000000002,23.693
2018,18,hulkenberg,1,24.681,24.681
2018,18,kevin_magnussen,1,23.723,23.723
2018,18,leclerc,1,34.812,34.812
2018,18,max_verstappen,1,23.446,23.446
2018,18,ocon,1,24.534,24.534
2018,18,perez,1,25.723,25.723
2018,18,raikkonen,1,23.714,23.714
2018,18,sainz,1,29.319,29.319
2018,18,sirotkin,2,23.700499999999998,23.686
2018,18,stroll,3,27.98466666666667,18.61
2018,18,vandoorne,2,24.130000000000003,24.065
2018,18,vettel,1,24.449,24.449
2018,19,bottas,3,22.834666666666667,22.105
2018,19,brendon_hartley,2,22.804000000000002,22.055
2018,19,ericsson,1,31.406,31.406
2018,19,gasly,2,22.8125,22.57
2018,19,grosjean,2,23.0795,22.733
2018,19,hamilton,2,22.334,22.269
2018,19,hulkenberg,1,23.037,23.037
2018,19,kevin_magnussen,1,22.39,22.39
2018,19,leclerc,1,22.588,22.588
2018,19,max_verstappen,2,22.131500000000003,22.088
2018,19,ocon,2,25.281,22.756
2018,19,perez,1,23.755,23.755
2018,19,raikkonen,1,22.017,22.017
2018,19,ricciardo,1,22.022,22.022
2018,19,sainz,1,22.66,22.66
2018,19,sirotkin,1,22.732,22.732
2018,19,stroll,2,23.911,23.371
2018,19,vandoorne,1,22.174,22.174
2018,19,vettel,2,22.2175,21.777
2018,20,alonso,2,28.3995,23.046
2018,20,bottas,2,22.841,22.727
2018,20,brendon_hartley,1,23.422,23.422
2018,20,ericsson,1,23.377,23.377
2018,20,gasly,1,23.757,23.757
2018,20,grosjean,1,23.403,23.403
2018,20,hamilton,1,22.641,22.641
2018,20,kevin_magnussen,1,23.115,23.115
2018,20,leclerc,1,23.593,23.593
2018,20,max_verstappen,1,23.432,23.432
2018,20,ocon,2,29.212,27.226
2018,20,perez,1,23.505,23.505
2018,20,raikkonen,1,22.766,22.766
2018,20,ricciardo,1,23.3,23.3
2018,20,sainz,2,23.8545,23.77
2018,20,sirotkin,1,23.273,23.273
2018,20,stroll,2,24.445500000000003,24.283
2018,20,vandoorne,1,22.618,22.618
2018,20,vettel,2,22.616999999999997,22.551
2018,21,alonso,1,21.726,21.726
2018,21,bottas,2,21.4445,21.289
2018,21,brendon_hartley,1,41.012,41.012
2018,21,gasly,1,22.493,22.493
2018,21,grosjean,1,22.354,22.354
2018,21,hamilton,1,21.283,21.283
2018,21,kevin_magnussen,1,21.587,21.587
2018,21,leclerc,1,21.828,21.828
2018,21,max_verstappen,1,21.057,21.057
2018,21,ocon,1,21.979,21.979
2018,21,perez,1,22.112,22.112
2018,21,ricciardo,1,21.061,21.061
2018,21,sainz,1,21.964,21.964
2018,21,sirotkin,1,22.755,22.755
2018,21,stroll,1,22.189,22.189
2018,21,vandoorne,1,22.317,22.317
2018,21,vettel,1,22.63,22.63
2019,1,albon,1,21.78,21.78
2019,1,bottas,1,22.014,22.014
2019,1,gasly,1,21.269,21.269
2019,1,giovinazzi,1,27.172,27.172
2019,1,grosjean,1,29.981,29.981
2019,1,hamilton,1,21.515,21.515
2019,1,hulkenberg,1,21.588,21.588
2019,1,kevin_magnussen,1,22.388,22.388
2019,1,kubica,3,25.743,21.889
2019,1,kvyat,1,22.086,22.086
2019,1,leclerc,1,22.306,22.306
2019,1,max_verstappen,1,21.157,21.157
2019,1,norris,1,21.627,21.627
2019,1,perez,1,23.234,23.234
2019,1,raikkonen,1,23.299,23.299
2019,1,ricciardo,1,33.027,33.027
2019,1,russell,2,21.616,21.543
2019,1,stroll,1,22.471,22.471
2019,1,vettel,1,21.995,21.995
2019,2,albon,2,25.2505,24.842
2019,2,bottas,2,24.649,24.433
2019,2,gasly,2,26.0205,24.484
2019,2,giovinazzi,2,26.302500000000002,24.88
2019,2,grosjean,1,32.082,32.082
2019,2,hamilton,2,24.2895,24.255
2019,2,hulkenberg,2,25.375500000000002,25.253
2019,2,kevin_magnussen,2,25.465,24.948
2019,2,kubica,2,24.490000000000002,24.313
2019,2,kvyat,2,28.6345,26.508
2019,2,leclerc,2,24.438000000000002,24.358
2019,2,max_verstappen,2,25.464,24.199
2019,2,norris,2,24.445999999999998,24.175
2019,2,perez,2,26.967,26.798
2019,2,raikkonen,2,25.634,25.621
2019,2,ricciardo,1,25.676,25.676
2019,2,russell,2,24.7725,24.633
2019,2,sainz,3,31.854,24.985
2019,2,stroll,2,30.469,26.6
2019,2,vettel,3,27.54433333333333,24.212
2019,3,albon,1,23.215,23.215
2019,3,bottas,2,23.139499999999998,22.196
2019,3,gasly,3,22.477,22.301
